Resumen de cuenta
Nro. de Cta.:,527000001803
Fecha desde:,01/12/2025
Fecha hasta:,28/01/2026

Fecha,Código concepto,Concepto,Débito,Crédito,Saldo,CUIT Transferencia
18/12/2025,109,TR SFE INT TERCERO  -  953763,"$ -60.000,00",,"$ 21.193.855,68",
18/12/2025,110,TR SFE EXT TERCERO  -  50227180,"$ -50.000,00",,"$ 21.143.855,68",
19/12/2025,353,CR-COOPARTICIP ASSAL  -  225,,"$ 59.997,00","$ 21.203.852,68",
19/12/2025,364,COPARTICIPACION  -  5242,,"$ 57.848,85","$ 21.261.701,53",
19/12/2025,364,COPARTICIPACION  -  5242,,"$ 501.757,64","$ 21.763.459,17",
19/12/2025,251,DEPEFECT  -  178873,,"$ 1.633.000,00","$ 23.396.459,17",
19/12/2025,409,TRANSAC DEBIN  -  363528,,"$ 2.000,00","$ 23.398.459,17",
19/12/2025,359,ACREDITACION AUTOMAT  -  96415209,,"$ 460.000,00","$ 23.858.459,17",
19/12/2025,103,COBERTURAS DE FONDOS  -  141049,"$ -1.082.285,09",,"$ 22.776.174,08",
19/12/2025,109,TR SFE INT TERCERO  -  253242,"$ -56.000,00",,"$ 22.720.174,08",
19/12/2025,200,DB INMEDIATO  -  356080,"$ -153.000,00",,"$ 22.567.174,08",
19/12/2025,200,DB INMEDIATO  -  356394,"$ -70.000,00",,"$ 22.497.174,08",
19/12/2025,200,DB INMEDIATO  -  365025,"$ -150.000,00",,"$ 22.347.174,08",
19/12/2025,109,TR SFE INT TERCERO  -  385134,"$ -80.000,00",,"$ 22.267.174,08",
19/12/2025,21,IVA GRAL  -  403327,"$ -56,44",,"$ 22.267.117,64",
19/12/2025,109,TR SFE INT TERCERO  -  403327,"$ -280.200,00",,"$ 21.986.917,64",
19/12/2025,163,COMTRSITE  -  403327,"$ -268,75",,"$ 21.986.648,89",
19/12/2025,21,IVA GRAL  -  616075,"$ -63,00",,"$ 21.986.585,89",
19/12/2025,109,TR SFE INT TERCERO  -  616075,"$ -852.000,00",,"$ 21.134.585,89",
19/12/2025,163,COMTRSITE  -  616075,"$ -300,00",,"$ 21.134.285,89",
19/12/2025,21,IVA GRAL  -  899239,"$ -91,88",,"$ 21.134.194,01",
19/12/2025,109,TR SFE INT TERCERO  -  899239,"$ -1.117.119,50",,"$ 20.017.074,51",
19/12/2025,163,COMTRSITE  -  899239,"$ -437,50",,"$ 20.016.637,01",
19/12/2025,110,TR SFE EXT TERCERO  -  50406322,"$ -148.000,00",,"$ 19.868.637,01",
19/12/2025,110,TR SFE EXT TERCERO  -  50508693,"$ -218.088,95",,"$ 19.650.548,06",
19/12/2025,21,IVA GRAL  -  50508719,"$ -63,00",,"$ 19.650.485,06",
19/12/2025,110,TR SFE EXT TERCERO  -  50508719,"$ -660.000,00",,"$ 18.990.485,06",
19/12/2025,163,COMTRSITE  -  50508719,"$ -300,00",,"$ 18.990.185,06",
19/12/2025,21,IVA GRAL  -  50508812,"$ -56,44",,"$ 18.990.128,62",
19/12/2025,110,TR SFE EXT TERCERO  -  50508812,"$ -436.600,00",,"$ 18.553.528,62",
19/12/2025,163,COMTRSITE  -  50508812,"$ -268,75",,"$ 18.553.259,87",
19/12/2025,110,TR SFE EXT TERCERO  -  50508854,"$ -135.950,00",,"$ 18.417.309,87",
19/12/2025,110,TR SFE EXT TERCERO  -  50509233,"$ -75.000,00",,"$ 18.342.309,87",
19/12/2025,110,TR SFE EXT TERCERO  -  50509269,"$ -50.000,00",,"$ 18.292.309,87",
19/12/2025,1,CHPAGADOR  -  90262788,"$ -6.500.000,00",,"$ 11.792.309,87",
22/12/2025,364,COPARTICIPACION  -  5243,,"$ 59.381,24","$ 11.851.691,11",
22/12/2025,364,COPARTICIPACION  -  5243,,"$ 98.857,42","$ 11.950.548,53",
22/12/2025,103,COBERTURAS DE FONDOS  -  141049,"$ -555.028,66",,"$ 11.395.519,87",
22/12/2025,109,TR SFE INT TERCERO  -  359619,"$ -76.010,00",,"$ 11.319.509,87",
22/12/2025,200,DB INMEDIATO  -  363572,"$ -66.000,00",,"$ 11.253.509,87",
22/12/2025,200,DB INMEDIATO  -  363719,"$ -20.000,00",,"$ 11.233.509,87",
22/12/2025,200,DB INMEDIATO  -  363720,"$ -69.000,00",,"$ 11.164.509,87",
22/12/2025,200,DB INMEDIATO  -  368163,"$ -268.280,00",,"$ 10.896.229,87",
22/12/2025,200,DB INMEDIATO  -  369620,"$ -126.400,00",,"$ 10.769.829,87",
22/12/2025,110,TR SFE EXT TERCERO  -  50747515,"$ -100.000,00",,"$ 10.669.829,87",
22/12/2025,110,TR SFE EXT TERCERO  -  50747541,"$ -50.000,00",,"$ 10.619.829,87",
23/12/2025,353,CR-COOPARTICIP ASSAL  -  225,,"$ 59.997,00","$ 10.679.826,87",
23/12/2025,364,COPARTICIPACION  -  5244,,"$ 49.771,97","$ 10.729.598,84",
23/12/2025,364,COPARTICIPACION  -  5244,,"$ 90.284,44","$ 10.819.883,28",
23/12/2025,251,DEPEFECT  -  180542,,"$ 308.000,00","$ 11.127.883,28",
23/12/2025,103,COBERTURAS DE FONDOS  -  141048,"$ -308.448,79",,"$ 10.819.434,49",
23/12/2025,200,DB INMEDIATO  -  361089,"$ -150.000,00",,"$ 10.669.434,49",
23/12/2025,200,DB INMEDIATO  -  365596,"$ -27.000,00",,"$ 10.642.434,49",
23/12/2025,1,CHPAGADOR  -  90262789,"$ -3.000.000,00",,"$ 7.642.434,49",
23/12/2025,99,DB-SERVICIO DE PAGO  -  97343246,"$ -5.738.605,48",,"$ 1.903.829,01",
26/12/2025,364,COPARTICIPACION  -  5245,,"$ 40.597,05","$ 1.944.426,06",
26/12/2025,364,COPARTICIPACION  -  5245,,"$ 51.021,80","$ 1.995.447,86",
26/12/2025,103,COBERTURAS DE FONDOS  -  141051,"$ -619.656,98",,"$ 1.375.790,88",
26/12/2025,145,TRANSFERENCIA REALIZ  -  187701,"$ -15.000,00",,"$ 1.360.790,88",
26/12/2025,200,DB INMEDIATO  -  368728,"$ -25.000,00",,"$ 1.335.790,88",
26/12/2025,200,DB INMEDIATO  -  370160,"$ -10.500,00",,"$ 1.325.290,88",
26/12/2025,200,DB INMEDIATO  -  370161,"$ -141.000,00",,"$ 1.184.290,88",
26/12/2025,109,TR SFE INT TERCERO  -  948205,"$ -180.000,00",,"$ 1.004.290,88",
26/12/2025,110,TR SFE EXT TERCERO  -  51319415,"$ -80.000,00",,"$ 924.290,88",
29/12/2025,353,CR-COOPARTICIP ASSAL  -  225,,"$ 79.996,00","$ 1.004.286,88",
29/12/2025,364,COPARTICIPACION  -  5246,,"$ 26.357,11","$ 1.030.643,99",
29/12/2025,364,COPARTICIPACION  -  5246,,"$ 342.448,83","$ 1.373.092,82",
29/12/2025,251,DEPEFECT  -  181995,,"$ 401.000,00","$ 1.774.092,82",
29/12/2025,103,COBERTURAS DE FONDOS  -  141052,"$ -1.273.780,39",,"$ 500.312,43",
30/12/2025,364,COPARTICIPACION  -  5247,,"$ 59.396,37","$ 559.708,80",
30/12/2025,364,COPARTICIPACION  -  5247,,"$ 67.595,44","$ 627.304,24",
30/12/2025,252,DEPCH PROPIO  -  258091,,"$ 500.000,00","$ 1.127.304,24",
30/12/2025,433,TRANSFERENCIA RECIB  -  962658,,"$ 2.000.000,00","$ 3.127.304,24",
30/12/2025,403,MOVILIDAD EDUC RURAL  -  98257158,,"$ 905.273,60","$ 4.032.577,84",
30/12/2025,410,TRANSF CTALINK  -  68308747,,"$ 4.000,00","$ 4.036.577,84",
30/12/2025,21,IVA GRAL,"$ -6,30",,"$ 4.036.571,54",
30/12/2025,149,COMMANTFIJO,"$ -30,00",,"$ 4.036.541,54",
30/12/2025,103,COBERTURAS DE FONDOS  -  141052,"$ -401.284,43",,"$ 3.635.257,11",
30/12/2025,1,CHPAGADOR  -  90262790,"$ -3.000.000,00",,"$ 635.257,11",
02/01/2026,364,COPARTICIPACION  -  5248,,"$ 41.937,26","$ 677.194,37",
02/01/2026,364,COPARTICIPACION  -  5248,,"$ 63.078,18","$ 740.272,55",
02/01/2026,200,DB INMEDIATO  -  382897,"$ -200.000,00",,"$ 540.272,55",
02/01/2026,110,TR SFE EXT TERCERO  -  52091259,"$ -60.000,00",,"$ 480.272,55",
